,Product Name,Price,Description
22,Acer Aspire ES1-...,$436.29,"<p class=""description"">Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home</p>"
23,Acer Extensa 15...,$439.73,"<p class=""description"">Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux</p>"
24,Acer Aspire ES1-...,$454.62,"<p class=""description"">Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux</p>"
25,Lenovo V110-15IS...,$454.73,"<p class=""description"">Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro</p>"
26,Acer Aspire A315...,$457.38,"<p class=""description"">Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG</p>"
27,Lenovo V110-15IK...,$465.95,"<p class=""description"">Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS</p>"
28,Asus VivoBook 15...,$468.56,"<p class=""description"">Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd</p>"
29,Acer Aspire ES1-...,$469.10,"<p class=""description"">Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home</p>"
30,Lenovo V510 Blac...,$484.23,"<p class=""description"">Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home</p>"
31,Acer Aspire ES1-...,$485.90,"<p class=""description"">Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux</p>"
32,Lenovo V510 Blac...,$487.80,"<p class=""description"">Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home</p>"
33,Acer Swift 1 SF1...,$488.64,"<p class=""description"">Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home</p>"
34,Dell Vostro 15,$488.78,"<p class=""description"">Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux</p>"
35,Acer Aspire 3 A3...,$494.71,"<p class=""description"">Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home</p>"
36,Dell Vostro 15 (...,$497.17,"<p class=""description"">Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux</p>"
37,Lenovo V510 Blac...,$498.23,"<p class=""description"">Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro</p>"
38,HP 250 G3,$520.99,"<p class=""description"">15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1</p>"
39,Acer Spin 5,$564.98,"<p class=""description"">Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home</p>"
40,HP 350 G1,$577.99,"<p class=""description"">15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows</p>"
41,Aspire E1-572G,$581.99,"<p class=""description"">15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1</p>"
42,Pavilion,$609.99,"<p class=""description"">15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1</p>"
43,Acer Aspire A515...,$679.00,"<p class=""description"">Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG</p>"
44,Dell Inspiron 15,$679.00,"<p class=""description"">Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux</p>"
45,Asus VivoBook S1...,$729.00,"<p class=""description"">Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd</p>"
46,ProBook,$739.99,"<p class=""description"">14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit</p>"
47,Inspiron 15,$745.99,"<p class=""description"">Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,</p>"
48,Asus ROG STRIX G...,$799.00,"<p class=""description"">Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS</p>"
49,Acer Nitro 5 AN5...,$809.00,"<p class=""description"">Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home</p>"
50,Asus ROG STRIX G...,$899.00,"<p class=""description"">Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home</p>"
51,Lenovo ThinkPad...,$999.00,"<p class=""description"">Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro</p>"
52,ThinkPad Yoga,$1033.99,"<p class=""description"">12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,</p>"
53,Lenovo ThinkPad...,$1096.02,"<p class=""description"">Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro</p>"
54,Dell Inspiron 15...,$1098.42,"<p class=""description"">Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home</p>"
55,MSI GL72M 7RDX,$1099.00,"<p class=""description"">MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home</p>"
56,MSI GL72M 7RDX,$1099.00,"<p class=""description"">Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd</p>"
57,Asus ROG Strix G...,$1101.83,"<p class=""description"">Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS</p>"
58,Dell Latitude 52...,$1102.66,"<p class=""description"">Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro</p>"
59,Dell Latitude 54...,$1110.14,"<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home</p>"
60,Lenovo Legion Y5...,$1112.91,"<p class=""description"">Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home</p>"
61,Toshiba Portege...,$1114.55,"<p class=""description"">Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro</p>"
62,Acer Predator He...,$1123.87,"<p class=""description"">Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home</p>"
63,Acer Aspire 7 A7...,$1123.87,"<p class=""description"">Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home</p>"
64,Dell Inspiron 17...,$1124.20,"<p class=""description"">Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home</p>"
65,Dell Latitude 54...,$1133.82,"<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro</p>"
66,Lenovo Legion Y5...,$1133.91,"<p class=""description"">Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home</p>"
67,Asus AsusPro Adv...,$1139.54,"<p class=""description"">Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG</p>"
68,Acer Nitro 5 AN5...,$1140.62,"<p class=""description"">Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home</p>"
69,Dell Latitude 54...,$1143.40,"<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro</p>"
70,Dell Inspiron 15...,$1144.20,"<p class=""description"">Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home</p>"
71,Dell Latitude 55...,$1144.40,"<p class=""description"">Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro</p>"
72,Lenovo Legion Y5...,$1149.00,"<p class=""description"">Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS</p>"
73,MSI GP62M 7RDX L...,$1149.00,"<p class=""description"">MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home</p>"
74,Lenovo Yoga 720...,$1149.73,"<p class=""description"">Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home</p>"
75,Toshiba Portege...,$1154.04,"<p class=""description"">Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro</p>"
76,Acer TravelMate...,$1170.10,"<p class=""description"">Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro</p>"
77,Dell Latitude 55...,$1178.19,"<p class=""description"">Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home</p>"
78,ThinkPad T540p,$1178.99,"<p class=""description"">15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit</p>"
79,MSI GS63 7RD Ste...,$1179.00,"<p class=""description"">MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home</p>"
80,Dell Latitude 54...,$1187.88,"<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro</p>"
81,Acer Predator He...,$1187.98,"<p class=""description"">Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home</p>"
82,MSI GL62M 7REX,$1199.00,"<p class=""description"">MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home</p>"
83,MSI GL62M 7REX2,$1199.00,"<p class=""description"">MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home</p>"
84,Lenovo Yoga 910...,$1199.73,"<p class=""description"">Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home</p>"
85,Toshiba Portege...,$1203.41,"<p class=""description"">Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro</p>"
86,Lenovo IdeaPad M...,$1212.16,"<p class=""description"">Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro</p>"
87,Acer Predator He...,$1221.58,"<p class=""description"">Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home</p>"
88,ThinkPad Yoga,$1223.99,"<p class=""description"">12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows</p>"
89,Asus VivoBook Pr...,$1235.49,"<p class=""description"">Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd</p>"
90,Dell Latitude 54...,$1238.37,"<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux</p>"
91,Asus ZenBook UX5...,$1239.20,"<p class=""description"">Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd</p>"
92,ThinkPad X230,$1244.99,"<p class=""description"">12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit</p>"
93,Asus ROG Strix G...,$1259.00,"<p class=""description"">Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd</p>"
94,Apple MacBook Ai...,$1260.13,"<p class=""description"">Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG</p>"
95,Dell Latitude 54...,$1271.06,"<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro</p>"
96,Hewlett Packard...,$1273.11,"<p class=""description"">Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home</p>"
97,Dell XPS 13,$1281.99,"<p class=""description"">13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1</p>"
98,Toshiba Portege...,$1294.74,"<p class=""description"">Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro</p>"
99,MSI GL62VR 7RFX,$1299.00,"<p class=""description"">MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home</p>"
100,Dell Latitude 54...,$1310.39,"<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro</p>"
101,ThinkPad X240,$1311.99,"<p class=""description"">12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit</p>"
102,Hewlett Packard...,$1326.83,"<p class=""description"">Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro</p>"
103,Apple MacBook Pr...,$1333.00,"<p class=""description"">Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG</p>"
104,Dell Latitude 55...,$1337.28,"<p class=""description"">Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro</p>"
105,Dell Latitude 54...,$1338.37,"<p class=""description"">Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home</p>"
106,Dell Latitude 55...,$1341.22,"<p class=""description"">Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux</p>"
107,Apple MacBook Ai...,$1347.78,"<p class=""description"">Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS</p>"
108,Lenovo ThinkPad...,$1349.23,"<p class=""description"">Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro</p>"
109,Lenovo ThinkPad...,$1362.24,"<p class=""description"">Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro</p>"
110,Toshiba Portege...,$1366.32,"<p class=""description"">Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro</p>"
111,Asus ASUSPRO B94...,$1381.13,"<p class=""description"">Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd</p>"
112,Lenovo Legion Y7...,$1399.00,"<p class=""description"">Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard</p>"
113,Asus ROG Strix G...,$1399.00,"<p class=""description"">Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd</p>"
114,Asus ROG Strix G...,$1769.00,"<p class=""description"">Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home</p>"
115,Asus ROG Strix G...,$1769.00,"<p class=""description"">Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home</p>"
116,Asus ROG Strix S...,$1799.00,"<p class=""description"">Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home</p>"
